PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000184117.7.NIPSNAP1.wgt.RDat	NIPSNAP1	22	29954859	29977326	0.0538	rs737976	 2.23	rs467812	 0.001722	 -3.56	 2.0297	398	19	enet	 0.005679	8.85e-02	-2.3365	1.95e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100319.11.ZMAT5.wgt.RDat	ZMAT5	22	30134319	30162969	0.0735	rs9606708	-2.62	rs1009147	 0.019420	 -3.88	 0.8331	386	 5	lasso	 0.026132	1.69e-03	 0.3474	7.28e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100325.10.ASCC2.wgt.RDat	ASCC2	22	30184597	30234265	0.1144	rs9608859	 2.82	rs6006267	 0.029201	  4.63	-1.6958	395	51	enet	 0.033395	4.39e-04	-2.3067	2.11e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000167065.9.DUSP18.wgt.RDat	DUSP18	22	31048038	31061108	0.1752	rs737924	-4.04	rs13053290	 0.159277	 -7.61	-1.4578	432	 4	lasso	 0.184950	8.01e-17	 1.9712	4.87e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000250318.1.CTA-963H5.5.wgt.RDat	CTA-963H5.5	22	31049864	31050801	0.2129	rs737924	-4.04	rs7288635	 0.160984	 -7.64	-1.5423	427	13	enet	 0.176761	4.37e-16	 1.7476	8.05e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000198089.10.SFI1.wgt.RDat	SFI1	22	31892261	32014212	0.0529	rs2413045	 4.19	rs5994376	 0.048550	 -4.74	 2.9759	373	 2	lasso	 0.035470	2.99e-04	-2.9775	2.91e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000241878.5.PISD.wgt.RDat	PISD	22	32016539	32058418	0.0637	rs2413045	 4.19	rs2006648	 0.039394	 -4.75	 1.9675	347	16	enet	 0.048063	2.91e-05	-3.1905	1.42e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000128245.10.YWHAH.wgt.RDat	YWHAH	22	32340447	32353590	0.0809	rs1968023	 3.39	rs5994415	-0.000704	 -3.38	-0.5972	464	19	enet	 0.010009	3.68e-02	-0.3376	7.36e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100360.10.IFT27.wgt.RDat	IFT27	22	37154246	37172300	0.1453	rs5750309	-3.71	rs3827351	 0.091602	  5.75	 1.2110	660	 3	lasso	 0.076071	1.60e-07	 1.1792	2.38e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000235237.1.RP1-151B14.6.wgt.RDat	RP1-151B14.6	22	37562797	37578890	0.1026	rs5750309	-3.71	rs5756552	 0.067463	  5.54	 2.3112	618	 2	lasso	 0.043792	6.42e-05	 2.3037	2.12e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000133466.9.C1QTNF6.wgt.RDat	C1QTNF6	22	37576207	37595425	0.1783	rs5750309	-3.71	rs5756546	 0.122409	  6.84	 2.2379	621	20	enet	 0.162668	7.81e-15	 1.8969	5.78e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100106.15.TRIOBP.wgt.RDat	TRIOBP	22	38093011	38156353	0.1837	rs5756560	 3.11	rs762982	 0.047372	 -5.69	 0.2310	456	29	enet	 0.135906	1.65e-12	-1.0335	3.01e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000189060.4.H1F0.wgt.RDat	H1F0	22	38201114	38203442	0.1004	rs8192548	-2.89	rs5756825	 0.035160	  5.59	 1.0889	386	17	enet	 0.077971	1.12e-07	 1.2821	2.00e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100116.12.GCAT.wgt.RDat	GCAT	22	38203912	38213183	0.2355	rs1534891	-2.78	rs1894644	 0.187068	  8.05	 0.6827	389	 5	lasso	 0.186251	6.11e-17	 0.8383	4.02e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100151.11.PICK1.wgt.RDat	PICK1	22	38452318	38471708	0.1612	rs16998847	 2.82	rs3026685	 0.088547	 -6.08	 1.2316	344	 4	lasso	 0.080130	7.48e-08	-1.2524	2.10e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000256873.1.AL021977.1.wgt.RDat	AL021977.1	22	38616385	38617120	0.0827	rs1534891	-2.78	rs9610875	-0.002842	  3.85	 1.3516	329	 5	enet	 0.003555	1.39e-01	 2.7965	5.17e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100201.14.DDX17.wgt.RDat	DDX17	22	38883878	38903665	0.0535	rs4140576	-3.95	rs5995603	-0.002584	  3.57	-1.1383	353	 4	lasso	-0.000922	4.07e-01	-1.3832	1.67e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000221890.2.NPTXR.wgt.RDat	NPTXR	22	39214457	39239987	0.1686	rs4140576	-3.95	rs7288826	 0.088188	  6.23	 2.0270	371	25	enet	 0.139023	8.92e-13	 1.7779	7.54e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000183741.7.CBX6.wgt.RDat	CBX6	22	39257455	39268319	0.0803	rs4140576	-3.95	rs7289653	 0.028895	  3.90	-0.0712	373	15	enet	 0.027163	1.40e-03	-0.5048	6.14e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000226024.1.COX5BP7.wgt.RDat	COX5BP7	22	39516298	39516571	0.0861	rs5995756	 6.40	rs139358	 0.041717	 -5.32	 0.0850	386	 8	enet	 0.054799	8.38e-06	-0.2071	8.36e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100321.10.SYNGR1.wgt.RDat	SYNGR1	22	39745930	39781593	0.1524	rs5995756	 6.40	rs738331	 0.085312	  6.44	 0.7964	374	 5	lasso	 0.094022	5.44e-09	 0.8707	3.84e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100417.7.PMM1.wgt.RDat	PMM1	22	41973812	41985894	0.0410	rs1023500	-5.94	rs79008	 0.005198	 -3.49	 1.0307	298	26	enet	 0.009016	4.48e-02	 2.0489	4.05e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100418.7.DESI1.wgt.RDat	DESI1	22	41994032	42017100	0.0920	rs1023500	-5.94	rs9607821	 0.076412	 -5.44	-2.3033	304	 3	lasso	 0.070822	4.27e-07	 2.2647	2.35e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100147.9.CCDC134.wgt.RDat	CCDC134	22	42196683	42222303	0.1028	rs1023500	-5.94	rs7285782	 0.065039	  5.07	 3.5888	314	 4	lasso	 0.076717	1.42e-07	 2.9786	2.90e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000177096.4.FAM109B.wgt.RDat	FAM109B	22	42470255	42475445	0.0447	rs1023500	-5.94	rs5758566	 0.058680	 -5.16	-5.0835	327	 2	lasso	 0.058870	3.94e-06	 5.1100	3.22e-07
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000183172.8.SMDT1.wgt.RDat	SMDT1	22	42475695	42480288	0.3675	rs1023500	-5.94	rs4147638	 0.364317	-11.24	-4.9978	327	 3	lasso	 0.368850	1.44e-35	 5.0961	3.47e-07
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000184983.5.NDUFA6.wgt.RDat	NDUFA6	22	42481529	42486959	0.1617	rs1023500	-5.94	rs2142695	 0.073645	  5.59	 0.3431	338	 5	lasso	 0.071032	4.11e-07	 1.3431	1.79e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000270083.1.RP1-257I20.14.wgt.RDat	RP1-257I20.14	22	42485634	42486032	0.1734	rs1023500	-5.94	rs4822100	 0.088525	  6.00	 1.0287	335	 4	lasso	 0.082190	5.08e-08	 0.9559	3.39e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100197.16.CYP2D6.wgt.RDat	CYP2D6	22	42522501	42526908	0.2730	rs1023500	-5.94	rs5758589	 0.335088	-10.68	 4.4343	341	 7	lasso	 0.339786	2.82e-32	-4.3844	1.16e-05
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000205702.6.CYP2D7P1.wgt.RDat	CYP2D7P1	22	42536214	42540576	0.1033	rs1023500	-5.94	rs133373	 0.021057	  4.08	 4.3770	346	28	enet	 0.042312	8.43e-05	 3.3366	8.48e-04
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000226450.2.CYP2D8P1.wgt.RDat	CYP2D8P1	22	42545877	42551007	0.0455	rs1023500	-5.94	rs738248	-0.000220	  3.76	-1.1596	351	14	enet	 0.007723	5.81e-02	 1.6917	9.07e-02
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000172250.10.SERHL.wgt.RDat	SERHL	22	42896585	42908566	0.1710	rs5751204	-5.29	rs137085	 0.040133	  5.80	 0.3731	398	25	enet	 0.089165	1.36e-08	 0.8081	4.19e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100243.16.CYB5R3.wgt.RDat	CYB5R3	22	43013846	43045574	0.1440	rs134873	 5.20	rs2284088	 0.020457	 -4.70	-0.4879	432	19	enet	 0.074159	2.29e-07	 0.3164	7.52e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000128274.11.A4GALT.wgt.RDat	A4GALT	22	43088127	43117304	0.2003	rs134873	 5.20	rs28992176	 0.070862	  5.55	-0.5821	471	 7	enet	 0.047056	3.51e-05	-0.2769	7.82e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000242247.6.ARFGAP3.wgt.RDat	ARFGAP3	22	43192508	43254112	0.0702	rs13057591	 3.80	rs2899365	 0.095413	 -5.96	 2.7385	532	 6	enet	 0.094834	4.66e-09	-2.8669	4.15e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000188636.3.LDOC1L.wgt.RDat	LDOC1L	22	44888452	44894178	0.1265	rs136692	-3.76	rs133796	 0.053340	  4.99	-1.2767	727	20	enet	 0.074614	2.10e-07	-0.6066	5.44e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000226328.2.CTA-217C2.1.wgt.RDat	CTA-217C2.1	22	45528901	45559662	0.2103	rs136692	-3.76	rs7290824	 0.146069	 -7.16	-0.4599	629	 6	lasso	 0.133537	2.63e-12	 0.2153	8.30e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100364.14.KIAA0930.wgt.RDat	KIAA0930	22	45586219	45636650	0.1659	rs1029314	 3.77	rs9614725	-0.002320	  3.64	-0.6876	634	42	enet	 0.015063	1.37e-02	-0.3584	7.20e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100376.7.FAM118A.wgt.RDat	FAM118A	22	45704849	45737836	0.5482	rs136692	-3.76	rs104664	 0.587171	 14.09	 0.1048	598	13	enet	 0.589421	6.02e-67	 0.1291	8.97e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000075234.12.TTC38.wgt.RDat	TTC38	22	46663858	46689905	0.1680	rs9615389	-3.93	rs6008552	 0.042334	  5.62	 0.1992	446	 3	lasso	 0.045106	5.03e-05	-0.3880	6.98e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100422.9.CERK.wgt.RDat	CERK	22	47080308	47134158	0.1341	rs2294295	 2.48	rs801721	 0.003299	 -4.02	 0.7593	561	 4	lasso	 0.008775	4.70e-02	-0.2618	7.93e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100426.6.ZBED4.wgt.RDat	ZBED4	22	50247490	50283726	0.0970	rs2092982	 4.42	rs9616370	 0.018529	  4.17	 3.8844	476	 5	lasso	 0.028854	1.02e-03	 3.2092	1.33e-03
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000273188.1.RP3-402G11.25.wgt.RDat	RP3-402G11.25	22	50630153	50630831	0.1150	rs2092982	 4.42	rs12484907	-0.002941	  3.59	-0.2977	379	13	enet	-0.001802	5.30e-01	 0.5193	6.04e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000130489.8.SCO2.wgt.RDat	SCO2	22	50961997	50964035	0.1172	rs2238834	-3.28	rs140521	 0.051886	  4.96	-0.2570	306	 3	lasso	 0.065720	1.10e-06	-0.4066	6.84e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000272821.1.CTA-384D8.36.wgt.RDat	CTA-384D8.36	22	50962355	50963209	0.1463	rs2238834	-3.28	rs5770871	 0.038129	 -4.60	 0.2658	306	 2	lasso	 0.063057	1.81e-06	-0.3373	7.36e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000025708.8.TYMP.wgt.RDat	TYMP	22	50964181	50968485	0.0927	rs2238834	-3.28	rs470119	 0.083986	 -5.56	-0.5824	305	 4	lasso	 0.065506	1.15e-06	-0.2624	7.93e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000205560.8.CPT1B.wgt.RDat	CPT1B	22	51012237	51016884	0.0738	rs2238834	-3.28	rs3213446	 0.054235	 -4.68	 0.4802	284	 4	lasso	 0.058282	4.40e-06	-0.9134	3.61e-01
NA	./WEIGHTS//GTEx.Whole_Blood/GTEx.Whole_Blood.ENSG00000100299.13.ARSA.wgt.RDat	ARSA	22	51061182	51066607	0.2290	rs2238834	-3.28	rs6151429	 0.176475	 -8.07	-1.8433	251	 3	lasso	 0.176771	4.36e-16	 1.9271	5.40e-02
